Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
GH38	1	1	1	1	1	1	1	1	1	3	1	1	1			1	2	1	1		1	1	1	1	1	1	1	1	2		1	1	1	4	4	1		7		2	6	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 38
GH39					1					2	1		1				2	2																																																		Glycoside Hydrolase Family 39
GH43		9			1	4			1	13	6	9	3			8	11	10	6		1		1	1		2	2	2	2	1	1	1	2	4	7	2		3		3	6	2			1																		3	1				Glycoside Hydrolase Family 43
GH45		1		2					1	2	1	1	1			1	1	1	1			2		1	1	1	1	1	1	1	1	1	1	2	1	1		1		1	2	1						1	1					1	1	1	1	1		1	2			2	1	1		Glycoside Hydrolase Family 45
GH47	3	5	2	2	12	4	7	5	4	25	11	15	7			15	17	14	4		3	4	6	4	3	11	14	14	14	5	7	5	6	20	14	14		19		19	30	12			3	3	3	3	3	4	3	3		3	3	3	3	3	3	7	7	5	4	3	3	4	4	Glycoside Hydrolase Family 47
GH51		1			4				2	8	6	4	2			3	5	5	1						1							5																		1																		Glycoside Hydrolase Family 51
GH53		1			1																																																															Glycoside Hydrolase Family 53
GH55		10	1	1																												4								1																												Glycoside Hydrolase Family 55
GH63	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1		3	1	2	1	1	1	1	1	1	1	1	1	1	3		1		1		2	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		Glycoside Hydrolase Family 63
GH65	1		1	1					1										1						1	1	1	1	1					2	2	1		1		2	3	1			1	1	1	1	1		1	1		1	1	1	1	1	1		1				1	1		Glycoside Hydrolase Family 65
GH71	3	7	1	1	5				2	9	6	6	5			9	7	6	1			1			1	5	5	4	7	3	3	3	3	6	5	4		10		6	8	5			1	1		1	1					1	1		1	1	1	2	1	2		6	1	1		Glycoside Hydrolase Family 71
GH72		2								2	1	1	1			1	1	1				2	1			1	2	1	1	1	1		1	2	2	1		1		1	2	1																		1				1			1	Glycoside Hydrolase Family 72
GH75		1																	1						1																				1	1		1	1					1	1	1	1	1	1		1	1		9	1	1		Glycoside Hydrolase Family 75
GH76	3	4	1	1	2				1	7	4	4	5			3	3	3	3		1	1		1	2	10	7	10	10	4	3	2	3	8	8	7		6		4	9	9			1	1	1	1	1		1	1		1	1	1	1	1	1	2	1	2		3				Glycoside Hydrolase Family 76
GH78						1			2										2																										1		2	1	1		2	2		1	1	1	1	1	1		1							Glycoside Hydrolase Family 78
GH79		6			2	2				4	2	1				2	2	2				1	3		1	1	1	2	2	5	7	1	6	2	2	1		6		5	10																			1				1				Glycoside Hydrolase Family 79
GH81		1			2					4	2	2	2			2	2	1					1			1	1	1	1	1	1		1	2	2	1		1		1	3	1																		1								Glycoside Hydrolase Family 81
GH85		1			1		1	1	1	4	1	2				2	2	1	1		1	1	1		1	2	1	2	1	1	1	1	1	2	2	1		1		1	2	1			1	1	1	2	1		1	1		1	1	1	1	1	1	1	1	1		1	1			Glycoside Hydrolase Family 85
